Fjárlagafrumvarp fyrir árið 2026,Unnamed: 1,Unnamed: 2
2,1,Þjóðhagsspá
3,1,Samanburður á áætlun fjárlaga ársins 2025 og fjárlagafrumvarps 2026
3,2,Skilyrði stöðugleikareglu
3,3,Afkomuhorfur ársins 2026 í samanburði við fjármálaáætlun
3,4,Samanburður á áætlun fjáralaga ársins 2026 og uppfærðar afkomuhorfur
4,1,Tekjuáætlun 2024-2026
4,2,Aðgerðir og helstu skattabreytingar
4,3,Arðgreiðslur og tekjur B-hluta fyrirtækja
4,4,Skattastyrkir ársins 2024 og áætlaðir skattastyrkir áranna 2025 og 2026
5,1,Hagræn skipting útgjalda
5,2,Fjárfestingar 2025 og 2026
5,3,Útfærsla ráðstafna til að draga úr útgjaldavexti eftir málefnasviðum
5,4,Breytingar á rammasettum útgjöldum frá fjárlögum 2026
5,5,Breytingar á ramma gildandi fjármálaáætlunar
5,6,Verðlagsbreytingar fjárlagafrumvarpsins 2026
5,7,Yfirlit yfir skildbindandi samninga eftir málefnasviðum
6,1,Flokkun ríkisaðila í A-2 og A-3 hluta
6,2,Helstu tölur úr ársreikningum A2-hluta ríkisaðila fyrir árið 2025
6,3,Áætlaðar lykilstærðir A2-hluta ríkisaðila fyrir árið 2026
6,4,Samandregið rekstrar- og sjóðstreymisyfirlit A2-hluta ríkisaðila
6,5,Helstu tölur úr ársreikningum stærstu A3-hluta ríkisaðila
6,6,Samandregið rekstrar- og sjóðstreymisyfirlit A3-hluta ríkisaðila
7,1,Rekstaryfirlit aðila í A-hluta ásamt mati á umfangi innbyrðis viðskipta
7,2,Samstæðuyfirlit A-hluta í heild fyrir árin 2023-2026
8,1,Áætlaðar lykilstærðir B-hluta ríkisaðila fyrir árið 2026
8,2,Samandregið rekstrar- og sjóðsstreymisyfirlit B-hluta ríkisaðila
9,1,Sjóðsstreymi ríkissjóðs (A1-hluta)
9,2,"Skuldir, kröfur og hrein staða ríkissjóðs"
9,3,Lántökuheimildir sem lagt er til að verði veittar skv. 5 gr.
