Tafla 13. Álagður fasteignaskattur 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,í þús. kr.,,Álagn.,Álagn.,Álagn.,,,,,Álagning,Álagningar-,Álagningar-,Álagningar-
,,,prós.,prós.,prós.,Álagning,Álagning,Álagning,Samtals,kr.,stofn,stofn,stofn
Svnr.,Heiti sveitarfélags,íbúafj.,A-fl.,B-fl.,C-fl.,A-fl.,B-fl.,C-fl.,álagning,á íbúa,A-fl.,B-fl.,C-fl.
,,,,,,,,,,,,,
0,Reykjavíkurborg,136894,0.0018,0.0132,0.016,7930072.017,3742832.931,17696952.713,29369857.661,214544.52102356567,4405595577,283547949,1106059552
1000,Kópavogsbær,39335,0.00165,0.0132,0.0142,2248942.827,569842.271,2889074.452,5707859.550000001,145108.92462183806,1362993283,43169869,203455947.32394364
1100,Seltjarnarnesbær,4572,0.00166,0.0132,0.01154,317845.532,77711.04,71166.951,466723.523,102083.01027996499,191473211,5887200,6166980
1300,Garðabær,19088,0.0016300000000000002,0.0132,0.0152,1281220.102,332806.716,1081227.916,2695254.734,141201.52629924563,786023457,25212630,71133415.5263158
1400,Hafnarfjarðarkaupstaður,30616,0.00217,0.0132,0.01387,2001495.858,566558.52,2786712.795,5354767.173,174900.93980271753,922348321.6589862,42921100,200916520
1604,Mosfellsbær,13403,0.0019,0.0132,0.014950000000000001,843747.703,277870.217,664121.191,1785739.111,133234.2841901067,444077719,21050774,44422808
1606,Kjósarhreppur,269,0.0030399999999999997,0.0132,0.0085,77828.601,1078.902,7909.363,86816.866,322739.2788104089,25601511,81735,930513
2000,Reykjanesbær,21957,0.0025,0.0132,0.0145,1107411.648,164666.238,1150116.979,2422194.865,110315.38302135993,442964647,12474715,79318412.34482759
2300,Grindavíkurbær,3579,0.003,0.0132,0.0145,3136.911,39385.698,238057.147,280579.756,78396.13188041352,75375205,2987095,29234306
2506,Sveitarfélagið Vogar,1500,0.0043,0.0132,0.0165,163095.392,10376.784,49209.344,222681.51999999996,148454.34666666665,37929155,786120,2982385
2510,Suðurnesjabær,3897,0.0028000000000000004,0.0132,0.0165,192732.278,31484.508,995251.14,1219467.926,312924.7949704901,68832957,2385190,60318250
3000,Akraneskaupstaður,8071,0.002467,0.0132,0.014678,488719.479,118122.576,347969.383,954811.4379999998,118301.50390286208,198102711,8948680,23706866
3506,Skorradalshreppur,52,0.0045000000000000005,0.0132,0.0128,96746.679,0,3126.272,99872.951,1920633.673076923,21499249,0,244240
3511,Hvalfjarðarsveit,727,0.0036,0.0132,0.0165,114207.108,7482.117,645821.712,767510.937,1055723.4346629987,31724194,566827,39140709
3609,Borgarbyggð,4100,0.0034999999999999996,0.0132,0.0139,444071.493,60526.29,248476.026,753073.809,183676.5387804878,126877336,4585325,17875973
3709,Grundarfjarðarbær,821,0.005,0.0132,0.0165,58524.624,15157.56,66923.638,140605.82200000001,171261.65895249697,11704925,1148300,4055978
3713,Eyja- og Miklaholtshreppur,123,0.005,0.0132,0.005,16233.92,3223.215,3361.315,22818.45,185515.8536585366,3246784,244183,672263
3714,Snæfellsbær,1617,0.0044,0.0132,0.0155,109845.472,17544.45,106370.242,233760.164,144564.10884353743,24964880,1329125,6862595
3716,Sveitarfélagið Stykkishólmur,1266,0.0039000000000000003,0.0132,0.015600000000000001,98412.901,23096.7,78810.749,200320.34999999998,158230.9241706161,25234068,1749750,5051971
3811,Dalabyggð,642,0.005,0.0132,0.015,72118.868,12172.776,32126.828,116418.47200000001,181337.18380062308,14423774,922180,2141789
4100,Bolungarvíkurkaupstaður,989,0.005,0.0132,0.0165,61397.31,6677.589,44665.791,112740.69,113994.63094034378,12279462,505878,2707016
4200,Ísafjarðarbær,3797,0.0054,0.0132,0.0165,334264.385,45328.603,187556.615,567149.603,149367.81748749013,61900810,3433985,11367064
4502,Reykhólahreppur,236,0.0055000000000000005,0.0132,0.0165,30720.672,3256.863,8693.361,42670.89599999999,180808.8813559322,5585549,246732,526870
4604,Tálknafjarðarhreppur,250,0.0055000000000000005,0.0132,0.0165,16878.817,2511.202,22437.342,41827.361000000004,167309.44400000002,3068871,190243,1359838
4607,Vesturbyggð,1106,0.0055000000000000005,0.0132,0.0165,83748.117,8679.013,44898.696,137325.826,124164.39963833636,15226902,657501,2721131
4803,Súðavíkurhreppur,219,0.0045000000000000005,0.0132,0.0165,16843.826,1396.032,12147.276,30387.134,138754.03652968034,3743051,105760,736198
4901,Árneshreppur,53,0.00625,0.0132,0.0165,6997.165,222.499,1845.998,9065.662,171050.22641509437,1119540,16856,111878
4902,Kaldrananeshreppur,104,0.005,0.0132,0.013999999999999999,8033.602,1128.534,3971.01,13133.146,126280.25000000001,1606720,85495,283644
4911,Strandabyggð,414,0.005,0.0132,0.0151,32993.67,3345.936,14397.641,50737.247,122553.73671497585,6598734,253480,953486
5508,Húnaþing vestra,1212,0.00475,0.0132,0.0132,111773.712,19667.564,56718.098,188159.374,155247.0082508251,23531193,1489967,4296826
5609,Sveitarfélagið Skagaströnd,457,0.0048,0.0132,0.0165,27290.859,6933.221,20782.351,55006.431,120364.18161925602,5685596,525244,1259536
5611,Skagabyggð,86,0.005,0.0132,0.005,9907.475,0,349.025,10256.5,119261.62790697675,1981495,0,69805
5613,Húnabyggð,1263,0.005,0.0132,0.0165,115433.295,31455.52,165391.73,312280.54500000004,247253.00475059386,23086659,2382994,10023740
5716,Skagafjörður,4276,0.00475,0.0132,0.0165,436465.88,92916.524,256225.309,785607.713,183724.909494855,91887302,7039131,15528806.606060605
6000,Akureyrarbær,19812,0.0031,0.0132,0.0163,1573494.844,480783.984,1455570.165,3509848.993,177157.732333939,507578977,36423031,89298787
6100,Norðurþing,3081,0.0046,0.0132,0.0155,225405.645,34984.66,261050.412,521440.717,169243.9847452126,49001229,2650353,16841960
6250,Fjallabyggð,1973,0.0046,0.0132,0.015700000000000002,138443.752,29190.612,85167.892,252802.256,128130.89508362899,30096468,2211410,5424706
6400,Dalvíkurbyggð,1866,0.005,0.0132,0.0165,164125.596,29351.916,111000.965,304478.47699999996,163171.7454448017,32825120,2223630,6727331
6513,Eyjafjarðarsveit,1162,0.0039000000000000003,0.0132,0.013500000000000002,112046.462,16999.554,14562.256,143608.272,123587.15318416523,28729833,1287845,1078685
6515,Hörgársveit,791,0.004,0.0132,0.013999999999999999,75990.094,5189.851,49167.79,130347.73499999999,164788.53982300882,18997524,393171,3511985
6601,Svalbarðsstrandarhreppur,491,0.0042,0.0132,0.013999999999999999,55766.766,4004.946,30318.003,90089.715,183482.10794297353,13277802,303405,2165572
6602,Grýtubakkahreppur,396,0.0048,0.0132,0.015,38809.438,4418.119,12032.415,55259.972,139545.38383838386,8085300,334706,802161
6611,Tjörneshreppur,52,0.0045000000000000005,0.0132,0.015,4949.241,0,494.115,5443.356,104679.92307692308,1099825,0,32941
6613,Þingeyjarsveit,1410,0.00625,0.0132,0.0165,206322.399,22991.911,234284.551,463598.86100000003,328793.5184397163,33011467,1741812,14199066
6710,Langanesbyggð,540,0.00575,0.0132,0.0165,27981.487,10096.878,30059.274,68137.63900000001,126180.81296296297,4866345.565217392,764915,1821774.1818181819
7300,Fjarðabyggð,5163,0.00424,0.0132,0.0165,306393.956,87725.22,341944.577,736063.753,142565.12744528375,72262717,6645850,20723910
7400,Múlaþing,5177,0.00475,0.0132,0.0165,468236.615,85071.36,335929.249,889237.2239999999,171766.8966582963,98575894,6444800,20359345
7502,Vopnafjarðarhreppur,650,0.00625,0.0132,0.0165,54600.872,5523.923,33109.077,93233.872,143436.72615384616,8736111,418479,2006610
7505,Fljótsdalshreppur,95,0.004,0.0132,0.0165,8246.936,0,175052.545,183299.481,1929468.2210526317,2061734,0,10609245
8000,Vestmannaeyjabær,4444,0.0025,0.0132,0.013500000000000002,212899.431,51227.088,250173.163,514299.68200000003,115729.00135013502,85159767,3880840,18531344
8200,Sveitarfélagið Árborg,11565,0.003,0.0132,0.0165,926701.984,207211.66,764647.016,1898560.6600000001,164164.34587116298,308900662,15697853,46342242
8401,Sveitarfélagið Hornafjörður,2487,0.0037,0.0132,0.0165,154231.579,24778.367,157128.085,336138.03099999996,135158.03417772416,41684187,1877149,9522913
8508,Mýrdalshreppur,881,0.0033,0.0132,0.0165,48291.707,5619.24,82042.936,135953.883,154317.68785471056,14633832,425700,4972299
8509,Skaftárhreppur,620,0.0055000000000000005,0.0132,0.0165,61400.273,10513.351,78644.051,150557.675,242834.95967741933,11163626,796466,4766305
8610,Ásahreppur,293,0.0015,0.0132,0.0165,10045.801,0,341857.052,351902.853,1201033.6279863482,6697145,0,20718609
8613,Rangárþing eystra,2007,0.00375,0.0132,0.015,188758.38,23130.398,147935.437,359824.21499999997,179284.61136023916,50335355,1752303,9862366
8614,Rangárþing ytra,1867,0.003,0.0132,0.015,177950.91,29105.287,138248.265,345304.46200000006,184951.5061596144,59316970,2204946,9216551
8710,Hrunamannahreppur,865,0.004699999999999999,0.0132,0.0132,154507.904,10676.53,57006.001,222190.435,256867.5549132948,32874007,808828,4318637
8716,Hveragerðisbær,3265,0.0033,0.0132,0.0148,295784.86,82725.521,132751.399,511261.78,156588.60030627873,89631774,6267085,8969691
8717,Sveitarfélagið Ölfus,2631,0.0023,0.0132,0.0165,149948.248,37779.39,483340.113,671067.7509999999,255061.85898897756,65194859,2862075,29293339
8719,Grímsnes- og Grafningshreppur,539,0.0045000000000000005,0.0132,0.0165,599014.736,12875.584,312292.711,924183.0310000001,1714625.2894248608,133114341,975423,18926831
8720,Skeiða- og Gnúpverjahreppur,591,0.0043,0.0132,0.0165,94212.062,7929.319,317111.312,419252.69299999997,709395.4196277496,21909765,600706,19218868
8721,Bláskógabyggð,1322,0.0045000000000000005,0.0132,0.015,423373.546,29541.878,132615.93,585531.354,442913.278366112,94082943,2238021,8841062
8722,Flóahreppur,699,0.004699999999999999,0.0132,0.016,97303.329,4891.326,28419.935,130614.59,186859.2131616595,20702811,370555,1776246
,,,,,,,,,,,,,
,,383726,0.002277389250892998,0.013199924073397184,0.015457881367301763,26014397.05100001,7649796.481999998,36596823.091000006,70261016.62400001,183102.04839911815,11422903239.224203,579533370,2367518692.9829655
