Aldur,Ár,Kyn,Fjöldi,Atvinnutekjur,Fjármagnstekjur,Aðrar tekjur,Skattar á greiðslugrunni,Ráðstöfunartekjur
16 ára,2023,Karlar,8786,1885,116,197,1876,143
20 ára,2023,Karlar,10625,4949,243,1037,4384,428
25 ára,2023,Karlar,12271,7038,316,1769,5912,611
30 ára,2023,Karlar,13857,8229,378,2207,6787,719
35 ára,2023,Karlar,12215,9297,501,2633,7556,764
40 ára,2023,Karlar,12018,10386,809,3131,8507,857
45 ára,2023,Karlar,10717,11177,1215,3498,9322,871
50 ára,2023,Karlar,10394,11492,1320,3682,9513,832
55 ára,2023,Karlar,9973,10511,2050,3501,9623,978
60 ára,2023,Karlar,9950,9375,1940,3541,9417,2008
65 ára,2023,Karlar,8596,6029,1912,3211,8748,4251
70 ára,2023,Karlar,6961,1619,1768,2403,7532,6567
75 ára,2023,Karlar,5182,517,1858,1861,7000,6487
80 ára,2023,Karlar,3054,245,1430,1736,6231,6292
85 ára og eldri,2023,Karlar,2567,100,1637,1435,5938,5636
16 ára,2023,Konur,8251,1902,126,177,1925,146
20 ára,2023,Konur,10186,4184,267,776,4004,497
25 ára,2023,Konur,11528,5555,250,1288,5156,864
30 ára,2023,Konur,12877,6438,349,1641,6005,1121
35 ára,2023,Konur,11302,7131,454,1951,6752,1406
40 ára,2023,Konur,11486,7984,700,2324,7487,1446
45 ára,2023,Konur,10564,8281,939,2508,7718,1337
50 ára,2023,Konur,10334,8125,1486,2579,7897,1188
55 ára,2023,Konur,10416,7386,1848,2425,7733,1217
60 ára,2023,Konur,10038,6308,1636,2336,7272,1911
65 ára,2023,Konur,8736,3390,1592,2260,6877,4285
70 ára,2023,Konur,6956,456,1712,1709,6399,5946
75 ára,2023,Konur,5498,118,1656,1403,6062,5691
80 ára,2023,Konur,3621,41,1172,1367,5491,5645
85 ára og eldri,2023,Konur,3757,24,937,1186,4972,5197
